words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
Kindergarten children decorate the hallways for all holidays,4,filter_20_Inf_frm01_s18.wav,Temporal,20,Kindergarten children decorate their classrooms for all holidays,34,Temporal_20,10,9.375,82,T 20,cornflowerblue
I may need to do something like that.,7,2_53.wav,Anchor_fullyIntelligible,0,I may need to do something like that,37,Anchor_fullyIntelligible_0,10,19.444444444444446,100,Full,coral
 the icicles upon our roof,3,filter_23_Inf_frm01_s14.wav,Temporal,23,We saw eight tiny icicles below our roof,40,Temporal_23,10,7.5,58,T 23,royalblue
forgot to come and it made his teeth fall out,2,filter_Inf_1.2_frm01_s21.wav,Spectral,1.2,The tooth fairy forgot to come when Roger's tooth fell out,43,Spectral_1.2,10,6.896551724137931,58,S 1.2,forestgreen
system,1,filter_Inf_1.5_frm01_s15.wav,Spectral,1.5,Each untimely income loss coincided with the breakdown of a heating system part,46,Spectral_1.5,10,1.2658227848101267,14,S 1.5,darkgreen
#,1,filter_Inf_0.4_1_33.wav,Anchor_Spectral_unIntelligible,0.4,They decided to do it anyway,49,Anchor_Spectral_unIntelligible_0.4,10,0.0,0,S 0.4,limegreen
It is the right thing to do.,3,filter_Inf_0.4_1_73.wav,Anchor_Spectral_unIntelligible,0.4,This is the right thing to do,52,Anchor_Spectral_unIntelligible_0.4,10,17.24137931034483,86,S 0.4,limegreen
#,1,filter_Inf_1.2_frm01_s17.wav,Spectral,1.2,The sermon emphasized the need for afirmative action,55,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
arrange for a meeting at two,2,filter_20_Inf_frm01_s24.wav,Temporal,20,If Carol comes tomorrow have her arrange for a meeting at two,58,Temporal_20,10,9.836065573770492,63,T 20,cornflowerblue
does naturally,2,filter_Inf_1.5_frm01_s31.wav,Spectral,1.5,Was she just naturally sloppy about everything but her physical appearance,61,Spectral_1.5,10,1.3513513513513513,30,S 1.5,darkgreen
It seems like it would be wise to act while the window was open.,7,2_22.wav,Anchor_fullyIntelligible,0,It seems like we would be wiser to act while the window is open,64,Anchor_fullyIntelligible_0,10,15.873015873015872,95,Full,coral
#,1,filter_23_Inf_frm01_s02.wav,Temporal,23,Stop each car if it's little,67,Temporal_23,10,0.0,0,T 23,royalblue
